8卦의 이름,,,,,,,,,,,,,,
,,,,,선천수,후천수,,,,,,,,
☰,乾,하늘   건,天,하늘 천,1건천,6,강건,아버지,西北,말,목,金,태양,陽
☱,兌,바꿀   태,澤,가릴 택,2태택,7,기쁨,작은 딸,西,양,입,金,,
☲,離,떠날   리,火,불   화,3리화,9,붙음,가운데 딸,南,꿩,눈,火,소음,
☳,震,벼락   진,雷,우뢰뢰,4진뢰,3,움직임,맏 아들,東,용,발,木,,
☴,巽,손괘   손,風,바람풍,5손풍,4,들어감,맏 딸,東南,닭,넓적다리,木,소양,陰
☵,坎,구덩이감,水,물   수,6감수,1,빠짐,가운데 아들,北,돼지,귀,水,,
☶,艮,어긋날간,山,뫼   산,7간산,8,멎음,작은 아들,東北,개,손,土,태음,
☷,坤,땅     곤,地,땅   지,8곤지,2,유순,어머니,西南,소,배,土,,
,,,,,,,,,,,,,,
